sample,PD
ERR4330039,2.77527362
ERR4330043,2.7405882636
ERR4330053,2.7854857470999996
ERR4330063,2.7542380784
ERR4330064,2.7347648843999997
ERR4330068,4.1447742554
ERR4330070,2.7502256484
ERR4330077,2.7752717069999995
ERR4330082,4.1415111764
ERR4330083,2.7942823416
ERR4330089,2.7854874276
ERR4330099,2.7767321555000004
ERR4330112,2.7942823416
ERR4333870,2.7405876544999996
ERR4333880,4.1447742554
ERR4333885,2.77527362
ERR4333886,4.1415111764
ERR4333891,4.1382504961
ERR4333894,2.77527362
ERR4333895,4.1317368194
ERR4333901,2.7854857470999996
ERR4333912,2.7942823416
ERR4333918,2.788550121100001
ERR4333921,4.1415111764
ERR4333924,4.1415111764
ERR4333928,2.7752717069999995
ERR4333933,2.7723566386
ERR4333945,2.7899030682999997
ERR4333956,2.7308527963
ERR4333958,2.7767289237999995
ERR4333959,0.9744379027
ERR4333961,1.2227190018999998
ERR4333963,2.7913194842999993
ERR4333971,2.7781880463000004
ERR4333974,2.7752717069999995
ERR4333977,2.7767248225
ERR4333992,2.7347648843999997
ERR4333998,2.7942823416
ERR4333999,2.77527362
ERR4334000,2.7752717069999995
ERR4334001,4.1447742554
ERR4334002,2.7854765920000006
ERR4334008,2.7752717069999995
ERR4334013,2.7796468743
ERR4334021,2.7854857470999996
ERR4334023,0.9701858138
ERR4334026,4.1447742554
ERR4334038,2.7752717069999995
ERR4334061,4.1819511716
ERR4334069,4.144770792499999
ERR4334074,2.7937147698
ERR4334078,2.7901623084
ERR4334083,4.1447742554
ERR4334085,2.7854857470999996
ERR4334096,2.7825686902000006
ERR4334102,2.7502256484
ERR4334105,2.7854874276
ERR4334117,1.7281144409
ERR4334120,2.7347648843999997
ERR4334121,2.7502256484
ERR4334129,2.7502256484
ERR4334132,2.7502256484
ERR4334140,2.7899030682999997
ERR4334141,2.7899030682999997
ERR4334143,4.1415111764
ERR4334147,2.7854735707000007
ERR4334151,2.7854857470999996
ERR4334158,2.7942823416
ERR4334160,2.7752704749999997
ERR4334166,0.9723018348
ERR4334167,4.1874838488999995
ERR4334170,1.2002999304
ERR4334176,2.7854857470999996
ERR4334179,2.7899030682999997
ERR4334182,2.7854857470999996
ERR4334192,2.7869374418999997
ERR4334205,2.7825670400000004
ERR4334209,4.1447742554
ERR4334210,2.7854846462
ERR4334218,2.788413244800001
ERR4334229,4.1415111764
ERR4334231,2.7854857470999996
ERR4334232,2.7308527963
ERR4334238,4.1415111764
ERR4334241,2.7854857470999996
ERR4334247,2.7854857470999996
ERR4334252,2.7322943102
ERR4334255,2.7901623084
ERR4334256,2.788413598700001
ERR4334261,4.1415111764
ERR4334264,2.3265984709000005
ERR4335019,2.7901623084
ERR4335020,0.9728503248
ERR4335021,4.1480342533
ERR4335033,2.7347648843999997
ERR4335034,2.7473417017
ERR4335045,2.7942823416
ERR4335046,2.7347648843999997
ERR4335055,2.7869332358000007
ERR4335057,2.7869332358000007
ERR4335061,2.7854846865
ERR4335069,2.7308527963
ERR4335072,2.7840229544
ERR4335073,2.7308527963
ERR4335075,2.7899030682999997
ERR4335076,2.7502256484
ERR4335100,2.7752717069999995
ERR4335105,2.7515903183
ERR4335132,1.1280552915
ERR4335135,2.7752717069999995
ERR4335136,2.77527362
ERR4335151,2.7767249989
ERR4335154,3.7599139141000006
ERR4335155,2.7767325655000006
ERR4335172,4.1415111764
ERR4335173,2.7347648843999997
ERR4335177,2.7854811495
ERR4335178,2.7869368480000003
ERR4335188,2.781104226
ERR4335195,2.7942823416
ERR4335204,2.7854857470999996
ERR4335213,2.7502256484
ERR4335218,4.1447742554
ERR4335230,2.7752717069999995
ERR4335234,2.7473417017
ERR4335238,2.7347720554
ERR4335241,2.7854735707000007
ERR4335246,2.7752717069999995
ERR4335247,2.7825670400000004
ERR4335249,2.7308527963
ERR4335251,2.7854857470999996
ERR4335252,4.1447742554
ERR4335257,2.7445817671
ERR4335271,4.1415111764
ERR4335279,4.1415111764
