sample_id,rpoB_abundance
ERR2619707,2211.0143758186205
ERR2619708,2254.9302857644716
ERR2619709,1945.6898546788625
ERR2619710,2077.0878426532795
ERR2619711,2114.658355554668
ERR2619712,2070.4187065649594
ERR2619713,2822.7945856135702
ERR2619714,1929.0021392142437
ERR2619715,1927.093973262341
ERR2619716,1796.7155703524977
ERR2619717,1774.1831546239605
ERR2619718,2265.280034887554
ERR2619719,1845.593832511726
ERR2619720,2084.704397849096
ERR2619721,1874.7495517978239
ERR2619722,1923.8756941041556
ERR2619723,2234.205376027636
ERR2619724,1993.386999560825
ERR2619725,2394.1329078223634
ERR2619726,2208.9017082574933
ERR2619727,2091.3272095288125
ERR2619728,2165.3174125677856
ERR2619729,1971.624791061846
ERR2619730,1825.7323029520746
ERR2619731,1824.100972066447
ERR2619732,2026.6501019622513
ERR2619733,2166.458815708134
ERR2619734,1932.2708109954283
ERR2619735,1886.787537936864
ERR2619736,2179.633354478703
ERR2619737,1956.1601812336237
ERR2619738,1777.5562389708484
ERR2619739,2171.9433979372993
ERR2619740,2096.664768538502
ERR2619741,2051.246066145734
ERR2619742,1882.9507978662682
ERR2619743,2130.861615409717
ERR2619744,1949.6990855973445
ERR2619745,2348.4953712680103
ERR2619746,1962.9867345384725
ERR2619747,2296.930430346179
ERR2619748,1788.9021406075901
ERR2619749,2869.2747702513693
ERR2619750,2215.313167064514
ERR2619751,2172.217066800013
ERR2619752,1824.4699418685407
ERR2619753,3113.9622512024584
ERR2619754,2129.131977654564
ERR2619755,2174.7809319454072
ERR2619756,1821.7333088917742
ERR2619757,2162.865678167561
ERR2619758,2833.9406736420297
ERR2619759,1929.0023068778623
ERR2619760,1831.124070500414
ERR2619761,2025.0477818872587
ERR2619762,2152.236842603852
ERR2619763,1764.694147825394
ERR4330026,2142.4536216767065
ERR4330027,1806.5025642422338
ERR4330028,1997.605451716613
ERR4330029,2150.560629963968
ERR4330030,2387.4987949224687
ERR4330031,2001.3616174455003
ERR4330032,2368.9943871992446
ERR4330033,2215.3200371372527
ERR4330034,2015.2290410861488
ERR4330035,2091.8780670431584
ERR4330036,2746.7487305049185
ERR4330037,2244.900768665531
ERR4330038,2273.634192274034
ERR4330039,2266.0324618387317
ERR4330040,2090.3577543104475
ERR4330041,1806.1653765301091
ERR4330042,1936.682228754695
ERR4330043,1876.6124870536728
ERR4330044,1937.062715437235
ERR4330045,2109.99765428909
ERR4330046,2133.7024590682427
ERR4330047,2658.8368223506095
ERR4330048,2370.305132394443
ERR4330049,2408.214966417001
ERR4330050,1533.8106714384592
ERR4330051,2456.2713732354296
ERR4330052,1618.8251975086048
ERR4330053,2050.7959220183475
ERR4330054,2206.0739648723456
ERR4330055,2232.315560604091
ERR4330056,2296.556111484453
ERR4330057,2360.9155116190877
