ID,Paper,Spots,Country,Latitude,Longitude,URCA
ERR4330026,Asnicar,27610920,USA,42.361145,-71.057083,2
ERR4330027,Asnicar,27778032,United Kingdom,51.509865,-0.118092,1
ERR4330028,Asnicar,26988304,USA,42.361145,-71.057083,2
ERR4330029,Asnicar,32815653,United Kingdom,51.509865,-0.118092,1
ERR4330030,Asnicar,31730055,United Kingdom,51.509865,-0.118092,1
ERR4330031,Asnicar,22749095,United Kingdom,51.509865,-0.118092,1
ERR4330032,Asnicar,26670352,United Kingdom,51.509865,-0.118092,1
ERR4330033,Asnicar,31112940,United Kingdom,51.509865,-0.118092,1
ERR4330034,Asnicar,24163782,United Kingdom,51.509865,-0.118092,1
ERR4330035,Asnicar,31729632,United Kingdom,51.509865,-0.118092,1
ERR4330036,Asnicar,27376285,United Kingdom,51.509865,-0.118092,1
ERR4330037,Asnicar,25662933,United Kingdom,51.509865,-0.118092,1
ERR4330038,Asnicar,47363163,United Kingdom,51.509865,-0.118092,1
ERR4330039,Asnicar,25856426,United Kingdom,51.509865,-0.118092,1
ERR4330040,Asnicar,25720125,United Kingdom,51.509865,-0.118092,1
ERR4330041,Asnicar,25830322,United Kingdom,51.509865,-0.118092,1
ERR4330042,Asnicar,25406116,United Kingdom,51.509865,-0.118092,1
ERR4330043,Asnicar,25636621,United Kingdom,51.509865,-0.118092,1
ERR4330044,Asnicar,24935884,United Kingdom,51.509865,-0.118092,1
ERR4330045,Asnicar,32753094,United Kingdom,51.509865,-0.118092,1
ERR4330046,Asnicar,34241127,USA,42.361145,-71.057083,2
ERR4330047,Asnicar,23478907,United Kingdom,51.509865,-0.118092,1
ERR4330048,Asnicar,39758758,USA,42.361145,-71.057083,2
ERR4330049,Asnicar,24112922,United Kingdom,51.509865,-0.118092,1
ERR4330050,Asnicar,26526849,United Kingdom,51.509865,-0.118092,1
ERR4330051,Asnicar,30915420,United Kingdom,51.509865,-0.118092,1
ERR4330052,Asnicar,26825558,United Kingdom,51.509865,-0.118092,1
ERR4330053,Asnicar,25227343,United Kingdom,51.509865,-0.118092,1
ERR4330054,Asnicar,26316302,United Kingdom,51.509865,-0.118092,1
ERR4330055,Asnicar,33865589,United Kingdom,51.509865,-0.118092,1
ERR4330056,Asnicar,36791719,United Kingdom,51.509865,-0.118092,1
ERR4330057,Asnicar,52403391,United Kingdom,51.509865,-0.118092,1
ERR4330058,Asnicar,38077537,United Kingdom,51.509865,-0.118092,1
ERR4330059,Asnicar,39965006,United Kingdom,51.509865,-0.118092,1
ERR4330060,Asnicar,27024246,United Kingdom,51.509865,-0.118092,1
ERR4330061,Asnicar,30130517,United Kingdom,51.509865,-0.118092,1
ERR4330062,Asnicar,24280389,United Kingdom,51.509865,-0.118092,1
ERR4330063,Asnicar,34498576,USA,42.361145,-71.057083,2
ERR4330064,Asnicar,29355588,United Kingdom,51.509865,-0.118092,1
ERR4330065,Asnicar,23919416,United Kingdom,51.509865,-0.118092,1
ERR4330066,Asnicar,24776080,United Kingdom,51.509865,-0.118092,1
ERR4330067,Asnicar,27633450,United Kingdom,51.509865,-0.118092,1
ERR4330068,Asnicar,23301264,United Kingdom,51.509865,-0.118092,1
ERR4330069,Asnicar,24769897,United Kingdom,51.509865,-0.118092,1
ERR4330070,Asnicar,25816271,United Kingdom,51.509865,-0.118092,1
ERR4330071,Asnicar,25282434,USA,42.361145,-71.057083,2
ERR4330072,Asnicar,29967786,USA,42.361145,-71.057083,2
ERR4330073,Asnicar,30823848,United Kingdom,51.509865,-0.118092,1
ERR4330074,Asnicar,25879864,United Kingdom,51.509865,-0.118092,1
ERR4330075,Asnicar,27386839,United Kingdom,51.509865,-0.118092,1
ERR4330076,Asnicar,33002406,United Kingdom,51.509865,-0.118092,1
ERR4330077,Asnicar,25551965,United Kingdom,51.509865,-0.118092,1
ERR4330078,Asnicar,25545903,United Kingdom,51.509865,-0.118092,1
ERR4330079,Asnicar,27936358,United Kingdom,51.509865,-0.118092,1
ERR4330080,Asnicar,24840855,United Kingdom,51.509865,-0.118092,1
ERR4330081,Asnicar,34300722,United Kingdom,51.509865,-0.118092,1
ERR4330082,Asnicar,29393185,United Kingdom,51.509865,-0.118092,1
ERR4330083,Asnicar,26676740,United Kingdom,51.509865,-0.118092,1
ERR4330084,Asnicar,31084504,USA,42.361145,-71.057083,2
ERR4330085,Asnicar,25085326,United Kingdom,51.509865,-0.118092,1
ERR4330086,Asnicar,26132846,United Kingdom,51.509865,-0.118092,1
ERR4330087,Asnicar,24973531,United Kingdom,51.509865,-0.118092,1
ERR4330088,Asnicar,29161709,United Kingdom,51.509865,-0.118092,1
ERR4330089,Asnicar,25897128,USA,42.361145,-71.057083,2
ERR4330090,Asnicar,24790294,United Kingdom,51.509865,-0.118092,1
ERR4330091,Asnicar,28288932,United Kingdom,51.509865,-0.118092,1
ERR4330092,Asnicar,26024667,United Kingdom,51.509865,-0.118092,1
ERR4330093,Asnicar,24269117,United Kingdom,51.509865,-0.118092,1
ERR4330094,Asnicar,26800353,United Kingdom,51.509865,-0.118092,1
ERR4330095,Asnicar,27919641,United Kingdom,51.509865,-0.118092,1
ERR4330096,Asnicar,29555649,United Kingdom,51.509865,-0.118092,1
ERR4330097,Asnicar,26511577,United Kingdom,51.509865,-0.118092,1
ERR4330098,Asnicar,28680003,United Kingdom,51.509865,-0.118092,1
ERR4330099,Asnicar,45164410,United Kingdom,51.509865,-0.118092,1
ERR4330100,Asnicar,26329746,United Kingdom,51.509865,-0.118092,1
ERR4330101,Asnicar,25740230,United Kingdom,51.509865,-0.118092,1
ERR4330102,Asnicar,24887991,United Kingdom,51.509865,-0.118092,1
ERR4330103,Asnicar,22936237,United Kingdom,51.509865,-0.118092,1
ERR4330104,Asnicar,23850487,United Kingdom,51.509865,-0.118092,1
ERR4330105,Asnicar,26223474,United Kingdom,51.509865,-0.118092,1
ERR4330106,Asnicar,27472392,USA,42.361145,-71.057083,2
ERR4330107,Asnicar,23600363,United Kingdom,51.509865,-0.118092,1
ERR4330108,Asnicar,27569812,United Kingdom,51.509865,-0.118092,1
ERR4330109,Asnicar,24496518,USA,42.361145,-71.057083,2
ERR4330110,Asnicar,28648592,United Kingdom,51.509865,-0.118092,1
ERR4330111,Asnicar,25841288,USA,42.361145,-71.057083,2
ERR4330112,Asnicar,25245171,United Kingdom,51.509865,-0.118092,1
ERR4330113,Asnicar,21269684,United Kingdom,51.509865,-0.118092,1
ERR4330114,Asnicar,25135693,United Kingdom,51.509865,-0.118092,1
ERR4330115,Asnicar,33549189,United Kingdom,51.509865,-0.118092,1
ERR4330116,Asnicar,22828151,United Kingdom,51.509865,-0.118092,1
ERR4330117,Asnicar,26501517,United Kingdom,51.509865,-0.118092,1
ERR4330118,Asnicar,26790455,United Kingdom,51.509865,-0.118092,1
ERR4330119,Asnicar,28758810,United Kingdom,51.509865,-0.118092,1
ERR4330120,Asnicar,28247602,United Kingdom,51.509865,-0.118092,1
ERR4330121,Asnicar,27931278,United Kingdom,51.509865,-0.118092,1
ERR4330122,Asnicar,23815729,United Kingdom,51.509865,-0.118092,1
ERR4330123,Asnicar,24314773,United Kingdom,51.509865,-0.118092,1
ERR4330124,Asnicar,31860041,United Kingdom,51.509865,-0.118092,1
ERR4333869,Asnicar,26658270,United Kingdom,51.509865,-0.118092,1
ERR4333870,Asnicar,24493124,United Kingdom,51.509865,-0.118092,1
ERR4333871,Asnicar,29725654,United Kingdom,51.509865,-0.118092,1
ERR4333872,Asnicar,24776993,United Kingdom,51.509865,-0.118092,1
ERR4333873,Asnicar,25494299,United Kingdom,51.509865,-0.118092,1
ERR4333874,Asnicar,20743002,United Kingdom,51.509865,-0.118092,1
ERR4333875,Asnicar,23694630,United Kingdom,51.509865,-0.118092,1
ERR4333876,Asnicar,26372458,United Kingdom,51.509865,-0.118092,1
ERR4333877,Asnicar,32377839,United Kingdom,51.509865,-0.118092,1
ERR4333878,Asnicar,27965897,United Kingdom,51.509865,-0.118092,1
ERR4333879,Asnicar,28261162,USA,42.361145,-71.057083,2
ERR4333880,Asnicar,26184882,United Kingdom,51.509865,-0.118092,1
ERR4333881,Asnicar,26114446,USA,42.361145,-71.057083,2
ERR4333882,Asnicar,25263857,United Kingdom,51.509865,-0.118092,1
ERR4333883,Asnicar,23975880,United Kingdom,51.509865,-0.118092,1
ERR4333884,Asnicar,25264221,United Kingdom,51.509865,-0.118092,1
ERR4333885,Asnicar,22317930,United Kingdom,51.509865,-0.118092,1
ERR4333886,Asnicar,25649961,USA,42.361145,-71.057083,2
ERR4333887,Asnicar,25687498,United Kingdom,51.509865,-0.118092,1
ERR4333888,Asnicar,24860768,United Kingdom,51.509865,-0.118092,1
ERR4333889,Asnicar,42470096,United Kingdom,51.509865,-0.118092,1
ERR4333890,Asnicar,31515299,United Kingdom,51.509865,-0.118092,1
ERR4333891,Asnicar,37104081,United Kingdom,51.509865,-0.118092,1
ERR4333892,Asnicar,23290754,United Kingdom,51.509865,-0.118092,1
ERR4333893,Asnicar,32736477,United Kingdom,51.509865,-0.118092,1
ERR4333894,Asnicar,24797637,United Kingdom,51.509865,-0.118092,1
ERR4333895,Asnicar,31401620,United Kingdom,51.509865,-0.118092,1
ERR4333896,Asnicar,25330055,United Kingdom,51.509865,-0.118092,1
ERR4333897,Asnicar,28517059,United Kingdom,51.509865,-0.118092,1
ERR4333898,Asnicar,25721914,United Kingdom,51.509865,-0.118092,1
ERR4333899,Asnicar,24014621,United Kingdom,51.509865,-0.118092,1
ERR4333900,Asnicar,24882710,United Kingdom,51.509865,-0.118092,1
ERR4333901,Asnicar,29053711,United Kingdom,51.509865,-0.118092,1
ERR4333902,Asnicar,36409388,United Kingdom,51.509865,-0.118092,1
ERR4333903,Asnicar,33672820,United Kingdom,51.509865,-0.118092,1
ERR4333904,Asnicar,24338250,USA,42.361145,-71.057083,2
ERR4333905,Asnicar,24716243,United Kingdom,51.509865,-0.118092,1
ERR4333906,Asnicar,24136015,United Kingdom,51.509865,-0.118092,1
ERR4333907,Asnicar,34127391,United Kingdom,51.509865,-0.118092,1
ERR4333908,Asnicar,27113634,United Kingdom,51.509865,-0.118092,1
ERR4333909,Asnicar,45729590,United Kingdom,51.509865,-0.118092,1
ERR4333910,Asnicar,26136024,USA,42.361145,-71.057083,2
ERR4333911,Asnicar,31879310,United Kingdom,51.509865,-0.118092,1
ERR4333912,Asnicar,24315938,United Kingdom,51.509865,-0.118092,1
ERR4333913,Asnicar,23580167,United Kingdom,51.509865,-0.118092,1
ERR4333914,Asnicar,35627587,United Kingdom,51.509865,-0.118092,1
ERR4333915,Asnicar,26630276,United Kingdom,51.509865,-0.118092,1
ERR4333916,Asnicar,29385069,United Kingdom,51.509865,-0.118092,1
ERR4333917,Asnicar,25590085,United Kingdom,51.509865,-0.118092,1
ERR4333918,Asnicar,24570512,United Kingdom,51.509865,-0.118092,1
ERR4333919,Asnicar,24535385,United Kingdom,51.509865,-0.118092,1
ERR4333920,Asnicar,28817360,United Kingdom,51.509865,-0.118092,1
ERR4333921,Asnicar,24192778,United Kingdom,51.509865,-0.118092,1
ERR4333922,Asnicar,22854755,United Kingdom,51.509865,-0.118092,1
ERR4333923,Asnicar,22915940,United Kingdom,51.509865,-0.118092,1
ERR4333924,Asnicar,24483963,United Kingdom,51.509865,-0.118092,1
ERR4333925,Asnicar,32323700,United Kingdom,51.509865,-0.118092,1
ERR4333926,Asnicar,28809706,United Kingdom,51.509865,-0.118092,1
ERR4333927,Asnicar,37524241,USA,42.361145,-71.057083,2
ERR4333928,Asnicar,25817632,United Kingdom,51.509865,-0.118092,1
ERR4333929,Asnicar,23462543,United Kingdom,51.509865,-0.118092,1
ERR4333930,Asnicar,27548827,United Kingdom,51.509865,-0.118092,1
ERR4333931,Asnicar,26942198,United Kingdom,51.509865,-0.118092,1
ERR4333932,Asnicar,30197117,United Kingdom,51.509865,-0.118092,1
ERR4333933,Asnicar,29545996,United Kingdom,51.509865,-0.118092,1
ERR4333934,Asnicar,27031213,United Kingdom,51.509865,-0.118092,1
ERR4333935,Asnicar,23872598,United Kingdom,51.509865,-0.118092,1
ERR4333936,Asnicar,34393565,USA,42.361145,-71.057083,2
ERR4333937,Asnicar,24090381,United Kingdom,51.509865,-0.118092,1
ERR4333938,Asnicar,29322004,United Kingdom,51.509865,-0.118092,1
ERR4333939,Asnicar,26900634,United Kingdom,51.509865,-0.118092,1
ERR4333940,Asnicar,25339899,United Kingdom,51.509865,-0.118092,1
ERR4333941,Asnicar,27855131,USA,42.361145,-71.057083,2
ERR4333942,Asnicar,28362482,United Kingdom,51.509865,-0.118092,1
ERR4333943,Asnicar,24126556,United Kingdom,51.509865,-0.118092,1
ERR4333944,Asnicar,36675817,United Kingdom,51.509865,-0.118092,1
ERR4333945,Asnicar,61552128,United Kingdom,51.509865,-0.118092,1
ERR4333946,Asnicar,45459470,United Kingdom,51.509865,-0.118092,1
ERR4333947,Asnicar,26974049,United Kingdom,51.509865,-0.118092,1
ERR4333948,Asnicar,30844636,USA,42.361145,-71.057083,2
ERR4333949,Asnicar,35111503,United Kingdom,51.509865,-0.118092,1
ERR4333950,Asnicar,27411111,United Kingdom,51.509865,-0.118092,1
ERR4333951,Asnicar,29807693,United Kingdom,51.509865,-0.118092,1
ERR4333952,Asnicar,27935247,United Kingdom,51.509865,-0.118092,1
ERR4333953,Asnicar,28304291,United Kingdom,51.509865,-0.118092,1
ERR4333954,Asnicar,24836259,United Kingdom,51.509865,-0.118092,1
ERR4333955,Asnicar,28857438,United Kingdom,51.509865,-0.118092,1
