duplicate_of,ncbi_taxonomy,family
jc5idRuQ9HNKZA5u38Ywvi_1,45151,Pleosporaceae
eef5FHucSzfqF78cPLnyxc_3,388357,Micrococcaceae
WaoWufbMFRKXDz9R5C6oh8_1,526225,Geodermatophilaceae
JovgqHtSJgWgYyNdf2CGhK_5,2865833,Pseudonocardiaceae
WCYVWN8hoPedNnDAbn4zDH_1,2589797,Allobogoriellaceae
Q4cz9ghSimBscBdPp8nqHq_6,2930219,Clostridiaceae
6CDHR4EgRooWCAMPQNcLDL_12,2921713,Caryophanaceae
fBGnqaepwYA69Kqx5ByKFW_6,2601122,Moraxellaceae
RUKyqGQZ4hbrzvsPrLgj9s_3,876,Desulfovibrionaceae
UTCB7wmD2ecePVzKpe2GGv_3,876,Desulfovibrionaceae
VSm72P2gUydyD84etCiH7A_1,1351,Enterococcaceae
PvSv2mwhn8efmYDPquH3h3_2,39777,Veillonellaceae
4nAQLChCsoVN5ouiFEjnxW_3,1351,Enterococcaceae
HxCnmcXJrrGK7kaRywKcFq_14,2115968,Bacillaceae
UrtQLP2E9X6p397RBN4r39_2,1650,Caryophanaceae
